Easting,Northing,In AQMA?,Distance to kerb,Year,NO2
326386,674872,Yes ,1.16,2010,35.4
326361,674882,Yes ,5.6,2010,38.1
325049,673791,Yes ,9,2010,58
325397,673869,Yes ,1,2010,49.3
325362,674205,Yes ,2.2 + 2.0 b ,2010,56.3
324624,674012,No ,0.6,2010,38.5
325828,674362,Yes ,5.5,2010,39
326229,672287,No ,2.35 +2 b ,2010, 
325881,673471,Yes ,4.5,2010,46.2
325929,673490,Yes ,3.2,2010,37.7
326132,673519,Yes ,3.8 +2 b ,2010, 
326047,673519,Yes ,2.4,2010, 
324731,672984,No ,2.2,2010, 
324438,672859,No ,2.2,2010, 
324682,672939,No ,3.3,2010,42
325427,673371,Yes ,2.0 + 2.1b ,2010,38.4
325401,673340,Yes ,3.4,2010,60
325471,673369,Yes ,5,2010, 
325397,673377,Yes ,21 + 2.1 b ,2010, 
324905,672893,No ,2.8,2010,36.5
326312,672614,No ,5,2010,43.4
326244,672581,No ,4.9,2010, 
326323,672596,No ,1.3,2010, 
325141,672733,No ,2.8,2010,27.6
325105,670511,No ,1.4,2010,18.4
324538,671166,No ,0.7,2010,28.8
324167,673249,Yes ,2.2,2010,49.3
326181,672971,No ,3.4 + 2 b ,2010, 
326112,673115,No ,3 + 2 ,2010, 
326164,673054,No ,3.74 + 2 b ,2010, 
325944,673670,Yes ,3.5,2010,49.4
326367,672554,No ,1.96 + 2 b ,2010, 
326383,672472,No ,2.57 + 2 b ,2010, 
324260,673270,Yes ,0.73,2010,55.6
324192,673332,Yes ,0.65,2010,52.4
325221,673263,Yes ,1.9,2010,51
325166,673242,Yes ,1.4,2010,62.4
325184,673261,Yes ,3,2010,41.5
325203,673250,Yes ,2.7,2010,54.9
319212,672921,No ,0.57 + 2.0bc ,2010,30.7
318185,672756,No ,3.6,2010,36.3
313028,672633,Yes ,1.8,2010,44.5
312664,672672,Yes ,1.6 + 2.4 bc ,2010,37.6
312693,672670,Yes ,2.8,2010,51.3
322478,674406,No ,2.6,2010, 
322082,674543,No ,3.2,2010, 
321526,674945,No ,4.5 + 7b ,2010, 
321990,674586,No ,2.1,2010, 
322153,674470,No ,2.8,2010, 
322123,674492,No ,3.1,2010, 
320081,673232,No ,1,2010,22.4
318612,674924,No ,2.8,2010,27
322144,674497,No ,2.0 + 2b ,2010,42.4
318810,674903,No ,16.9,2010,25.6
318723,674963,No ,13.6,2010,29.4
318698,674955,No ,1.49,2010,47.5
318698,674964,No ,10.5,2010, 
323007,673198,Yes ,0.23,2010,43.2
320122,672917,Yes ,0.54,2010,38.6
320154,672911,Yes ,2,2010,43.5
320096,672907,Yes ,2.1,2010,58.8
319651,672995,Yes ,1.56,2010,31.1
318571,675028,No ,3.5,2010,32.1
323498,672263,No ,2.2,2010,52.9
323587,672360,No ,4.75,2010, 
323526,672285,No ,2.1,2010, 
323487,672287,No ,2.2,2010, 
319062,670543,No ,1.6,2010,25.9
323265,672394,Yes ,2.5,2010, 
321724,671557,Yes ,2.5,2010, 
323477,672476,Yes ,2.4,2010,54.5
321967,671666,Yes ,2.6,2010,47.4
323484,672478,Yes ,0.3,2010,42.9
323632,672449,No ,1.8,2010, 
319527,668420,No ,1.5,2010,23.5
323167,672999,No ,2.3,2010, 
322999,671876,No ,2.6,2010, 
322960,671846,No ,2.67,2010,47.6
322772,671606,No ,2.2,2010,35.9
327148,676507,Yes ,2.2,2011,38.9
327137,676529,Yes ,2.1,2011,41.9
327192,676513,Yes ,2.2,2011,32.7
327135,676515,Yes ,2.1,2011,44.6
327009,676565,Yes ,2.47,2011,32.2
326879,676626,Yes ,2.6,2011,31.2
326430,676754,Yes ,1.47,2011,41
324946,676070,No ,1.65,2011,32.5
324726,676004,Yes ,1.75 +2.85b ,2011,32.5
326359,676420,No ,7.5,2011,32.7
326136,676361,No ,3.7,2011,32.6
326503,674436,Yes ,3.1,2011,39.6
326740,676138,Yes ,2.9,2011,40
326925,675949,Yes ,2.8,2011,38.4
326845,676015,Yes ,2.7,2011,41.2
326884,675997,Yes ,2.8,2011,39.1
326757,676144,Yes ,2.8,2011,33.8
324638,675993,Yes ,4.65,2011,43.8
324686,675941,Yes ,2.28 + 2.0b ,2011,28.2
326455,676805,No ,4.2,2011,26.2
327476,676418,No ,2.25,2011,38.5
327665,676331,No ,1.8,2011,37
324896,676991,No ,2,2011,28.9
329997,674274,No ,2.0 + 2.1b ,2011,24.3
327231,671782,No ,1.8,2011,28
326934,674503,Yes ,2.3,2011,43.6
326950,674624,Yes ,3.3,2011,35.8
326958,674770,Yes ,3.25,2011,41
326974,674780,Yes ,2.8,2011,32.7
326999,674940,Yes ,3.95,2011,32
327010,675149,No ,2.8,2011,27.9
327071,675467,No ,3,2011,26.8
326980,674446,Yes ,2.5,2011,51.2
327190,674433,Yes ,2.7,2011,45.5
328049,674174,Yes ,2.7,2011,31.5
328272,674143,Yes ,2.62,2011,50.4
328337,674129,Yes ,4.6,2011,42.4
327468,674362,Yes ,2.04 + 2.0b ,2011, 
326944,674472,Yes ,5.6,2011,40.4
328889,671649,No ,0.2 + 2.4b ,2011,30.9
328771,674190,No ,4.0 + 2.1b ,2011,27.8
330242,674162,No ,3.8,2011,31.2
330830,673726,No ,2.3,2011,22.9
330366,674057,No ,3.1,2011,26.3
330533,673850,No ,3,2011,36
329923,674389,No ,2.8,2011,41.6
329993,674457,No ,4.5,2011,33.1
325513,675134,No ,2,2011,34.6
325855,674527,No ,4.5,2011,32.8
324603,674555,No ,0.6 + 2.1b ,2011,33.5
325243,674400,No ,0.3 + 2.1b ,2011,30.6
324880,673891,Yes ,6.8,2011,44.7
325273,674030,Yes ,0.54,2011,41.1
324783,673868,Yes ,0.3,2011,42.5
324473,673920,No ,0.36 + 2.4b ,2011,32.4
324488,673978,No ,0.4 + 2.1b ,2011,33.4
324790,674341,No ,0.4 + 2.1b ,2011,23.6
325052,675217,No ,6.1,2011,33.7
326386,674872,Yes ,1.16,2011,34.2
326361,674882,Yes ,5.6,2011, 
325049,673791,Yes ,9,2011,45.3
325397,673869,Yes ,1,2011, 
325362,674205,Yes ,2.2 + 2.0 b ,2011,50
324624,674012,No ,0.6,2011,36.5
325828,674362,Yes ,5.5,2011,35.4
326229,672287,No ,2.35 +2 b ,2011, 
325881,673471,Yes ,4.5,2011,40.2
325929,673490,Yes ,3.2,2011,31.4
326132,673519,Yes ,3.8 +2 b ,2011, 
326047,673519,Yes ,2.4,2011, 
324731,672984,No ,2.2,2011, 
324438,672859,No ,2.2,2011, 
324682,672939,No ,3.3,2011,36.3
325427,673371,Yes ,2.0 + 2.1b ,2011,32.5
325401,673340,Yes ,3.4,2011,42
325471,673369,Yes ,5,2011,37.1
325397,673377,Yes ,21 + 2.1 b ,2011, 
324905,672893,No ,2.8,2011,25.7
326312,672614,No ,5,2011,37.4
326244,672581,No ,4.9,2011, 
326323,672596,No ,1.3,2011, 
325141,672733,No ,2.8,2011,27.3
325105,670511,No ,1.4,2011,16.1
324538,671166,No ,0.7,2011,28.6
324167,673249,Yes ,2.2,2011,48.5
326181,672971,No ,3.4 + 2 b ,2011, 
326112,673115,No ,3 + 2 ,2011, 
326164,673054,No ,3.74 + 2 b ,2011, 
325944,673670,Yes ,3.5,2011,48.7
326367,672554,No ,1.96 + 2 b ,2011, 
326383,672472,No ,2.57 + 2 b ,2011, 
324260,673270,Yes ,0.73,2011,55.1
324192,673332,Yes ,0.65,2011,55.3
325221,673263,Yes ,1.9,2011,43.5
325166,673242,Yes ,1.4,2011,57
325184,673261,Yes ,3,2011,39
325203,673250,Yes ,2.7,2011,55.2
319212,672921,No ,0.57 + 2.0bc ,2011,29.5
318185,672756,No ,3.6,2011,36.5
313028,672633,Yes ,1.8,2011,43.8
312664,672672,Yes ,1.6 + 2.4 bc ,2011,40.9
312693,672670,Yes ,2.8,2011,51.5
322478,674406,No ,2.6,2011, 
322082,674543,No ,3.2,2011, 
321526,674945,No ,4.5 + 7b ,2011, 
321990,674586,No ,2.1,2011, 
322153,674470,No ,2.8,2011, 
322123,674492,No ,3.1,2011, 
320081,673232,No ,1,2011,18.4
318612,674924,No ,2.8,2011,25.8
